,C/A,UNIT,SCP,STATION,DATE,ENTRIES_CUM_AM,ENTRIES_CUM_PM,ENTRIES,DAY_WEEK,MEDIAN,OUTLIER,~OUTLIER
0,A006,R079,00-00-00,5 AV/59 ST,2019-06-01,3886421.0,3884866,1555.0,5,2442.5,False,True
5,A006,R079,00-00-00,5 AV/59 ST,2019-06-06,3894983.0,3891684,3299.0,3,2442.5,False,True
6,A006,R079,00-00-00,5 AV/59 ST,2019-06-07,3895985.0,3893462,2523.0,4,2442.5,False,True
7,A006,R079,00-00-00,5 AV/59 ST,2019-06-08,3896717.0,3895153,1564.0,5,2442.5,False,True
12,A006,R079,00-00-00,5 AV/59 ST,2019-06-13,3905242.0,3901982,3260.0,3,2442.5,False,True
13,A006,R079,00-00-00,5 AV/59 ST,2019-06-14,3906257.0,3903678,2579.0,4,2442.5,False,True
14,A006,R079,00-00-00,5 AV/59 ST,2019-06-15,3907003.0,3905395,1608.0,5,2442.5,False,True
19,A006,R079,00-00-00,5 AV/59 ST,2019-06-20,3915052.0,3911929,3123.0,3,2442.5,False,True
20,A006,R079,00-00-00,5 AV/59 ST,2019-06-21,3915958.0,3913573,2385.0,4,2442.5,False,True
21,A006,R079,00-00-00,5 AV/59 ST,2019-06-22,3916705.0,3915166,1539.0,5,2442.5,False,True
26,A006,R079,00-00-00,5 AV/59 ST,2019-06-27,3924889.0,3921809,3080.0,3,2442.5,False,True
27,A006,R079,00-00-00,5 AV/59 ST,2019-06-28,3926596.0,3923452,3144.0,4,2442.5,False,True
32,A006,R079,00-00-00,5 AV/59 ST,2019-07-04,3932963.0,3931287,1676.0,3,2442.5,False,True
33,A006,R079,00-00-00,5 AV/59 ST,2019-07-05,3933777.0,3931971,1806.0,4,2442.5,False,True
34,A006,R079,00-00-00,5 AV/59 ST,2019-07-06,3934517.0,3933078,1439.0,5,2442.5,False,True
39,A006,R079,00-00-00,5 AV/59 ST,2019-07-11,3942409.0,3939294,3115.0,3,2442.5,False,True
40,A006,R079,00-00-00,5 AV/59 ST,2019-07-12,3943443.0,3940951,2492.0,4,2442.5,False,True
41,A006,R079,00-00-00,5 AV/59 ST,2019-07-13,3944312.0,3942546,1766.0,5,2442.5,False,True
46,A006,R079,00-00-00,5 AV/59 ST,2019-07-18,3952621.0,3949534,3087.0,3,2442.5,False,True
47,A006,R079,00-00-00,5 AV/59 ST,2019-07-19,3953373.0,3951168,2205.0,4,2442.5,False,True
48,A006,R079,00-00-00,5 AV/59 ST,2019-07-20,3953977.0,3952761,1216.0,5,2442.5,False,True
53,A006,R079,00-00-00,5 AV/59 ST,2019-07-25,3962231.0,3959035,3196.0,3,2442.5,False,True
54,A006,R079,00-00-00,5 AV/59 ST,2019-07-26,3963261.0,3960791,2470.0,4,2442.5,False,True
55,A006,R079,00-00-00,5 AV/59 ST,2019-07-27,3964073.0,3962377,1696.0,5,2442.5,False,True
60,A006,R079,00-00-00,5 AV/59 ST,2019-08-01,3972227.0,3969109,3118.0,3,2442.5,False,True
61,A006,R079,00-00-00,5 AV/59 ST,2019-08-02,3973221.0,3970775,2446.0,4,2442.5,False,True
62,A006,R079,00-00-00,5 AV/59 ST,2019-08-03,3974004.0,3972360,1644.0,5,2442.5,False,True
67,A006,R079,00-00-00,5 AV/59 ST,2019-08-08,3982124.0,3979031,3093.0,3,2442.5,False,True
68,A006,R079,00-00-00,5 AV/59 ST,2019-08-09,3983138.0,3980670,2468.0,4,2442.5,False,True
69,A006,R079,00-00-00,5 AV/59 ST,2019-08-10,3984008.0,3982261,1747.0,5,2442.5,False,True
74,A006,R079,00-00-00,5 AV/59 ST,2019-08-15,3992102.0,3988985,3117.0,3,2442.5,False,True
75,A006,R079,00-00-00,5 AV/59 ST,2019-08-16,3993094.0,3990655,2439.0,4,2442.5,False,True
