STATION,TOTAL_ENTRIES,ZIP,BOROUGH,the_geom
1 AV,252162.0,10009,Manhattan,POINT (-73.98168087489128 40.73097497580066)
103 ST,409448.0,10029,Manhattan,POINT (-73.96837899960818 40.799446000334825)
110 ST,162135.0,10029,Manhattan,POINT (-73.94424999687163 40.795020000113105)
116 ST,470555.0,10029,Manhattan,POINT (-73.94962500096905 40.802097999133004)
116 ST-COLUMBIA,67010.0,10027,Manhattan,POINT (-73.96410999757751 40.807722001230864)
125 ST,1136676.5,10035,Manhattan,POINT (-73.94549500011411 40.807753999182815)
135 ST,276040.0,10037,Manhattan,POINT (-73.94077000106708 40.8142290003391)
137 ST CITY COL,183874.0,10031,Manhattan,POINT (-73.95367600087873 40.82200799968475)
14 ST,519862.0,10011,Manhattan,POINT (-74.00020100063497 40.737825999728116)
14 ST-UNION SQ,960521.0,10003,Manhattan,POINT (-73.98995099881881 40.734673000996125)
145 ST,558182.0,10031,Manhattan,POINT (-73.95035999879713 40.82655099962194)
14TH ST,100336.0,10011,Manhattan,
15 ST-PROSPECT,64109.0,11215,Brooklyn,POINT (-73.97973580592873 40.66003568810021)
155 ST,108835.0,10039,Manhattan,POINT (-73.93820899811622 40.8301349999812)
157 ST,181939.0,10032,Manhattan,POINT (-73.94488999901047 40.8340410001399)
163 ST-AMSTERDM,66569.0,10032,Manhattan,POINT (-73.93989200188344 40.83601299923096)
168 ST,349900.5,10032,Manhattan,POINT (-73.93956099985425 40.84071899990795)
175 ST,167416.0,10033,Manhattan,POINT (-73.93970399761596 40.84739100072403)
18 AV,244222.0,11204,Brooklyn,POINT (-73.97697099965796 40.62975466638584)
18 ST,52800.0,10011,Manhattan,POINT (-73.99787100060406 40.741039999802105)
181 ST,362418.0,10033,Manhattan,POINT (-73.9335959996056 40.84950499974065)
190 ST,57201.0,10040,Manhattan,POINT (-73.93417999964333 40.85902199892482)
191 ST,28127.0,10040,Manhattan,POINT (-73.92941199742039 40.85522500175836)
2 AV,170081.0,10003,Manhattan,POINT (-73.98993800003434 40.72340166574911)
2 AV,170081.0,10003,Manhattan,
207 ST,112721.0,10034,Manhattan,POINT (-73.91881900132312 40.864614000525854)
215 ST,23375.0,10034,Manhattan,POINT (-73.91527899954356 40.86944399946045)
23 ST,874764.0,10010,Manhattan,POINT (-73.98659900207888 40.739864000474604)
25 AV,70509.0,11214,Brooklyn,POINT (-73.98682900011477 40.59770366695856)
25 ST,66033.0,11232,Brooklyn,POINT (-73.99809099974297 40.66039666692321)
28 ST,349167.0,10001,Manhattan,POINT (-73.98869800128737 40.74545399979951)
3 AV,79832.0,10003,Manhattan,POINT (-73.98575000112093 40.73269099971662)
33 ST,226353.0,10001,Manhattan,POINT (-73.98207600148947 40.74608099909145)
34 ST-HUDSON YD,146944.0,10001,Manhattan,POINT (-74.00219709442206 40.75544635961596)
34 ST-PENN STA,1312625.0,10119,Manhattan,POINT (-73.99105699913983 40.75037300003949)
36 ST,289952.0,11232,Brooklyn,POINT (-73.92901818461539 40.75196004401078)
4 AV-9 ST,54131.0,11215,Brooklyn,POINT (-73.98977899938897 40.67027166728493)
42 ST-BRYANT PK,284372.0,10036,Manhattan,POINT (-73.98459099904711 40.754184001312545)
42 ST-PORT AUTH,985718.0,10018,Manhattan,POINT (-73.98973500085859 40.757307998551504)
45 ST,144226.0,11220,Brooklyn,POINT (-74.01000600074939 40.648938666612814)
47-50 STS ROCK,384184.0,10020,Manhattan,
49 ST,116849.0,10020,Manhattan,POINT (-73.98420956591096 40.759801973870694)
4AV-9 ST,103433.0,11215,Brooklyn,
5 AV/53 ST,130795.5,10022,Manhattan,POINT (-73.9752485052734 40.76008683231326)
5 AV/59 ST,154243.0,10019,Manhattan,POINT (-73.9679670004732 40.762526000304575)
50 ST,338049.0,10019,Manhattan,POINT (-73.98384899986625 40.76172799961419)
51 ST,99321.0,10022,Manhattan,POINT (-73.97192000069982 40.75710699989316)
53 ST,182996.0,11220,Brooklyn,POINT (-74.01403399986317 40.64506866735981)
55 ST,42057.0,11219,Brooklyn,POINT (-73.99534882595742 40.63147876093745)
57 ST,110606.0,10019,Manhattan,POINT (-73.97736800085171 40.76408500081713)
57 ST-7 AV,268540.0,10106,Manhattan,
59 ST,766420.0,10065,Manhattan,POINT (-74.01788099953987 40.6413616662838)
59 ST COLUMBUS,615975.0,10023,Manhattan,POINT (-73.98192900232715 40.76824700063689)
