STATION,TOTAL_ENTRIES,ZIP,BOROUGH,the_geom
51 ST,990841.0,10022,Manhattan,POINT (-73.97192000069982 40.75710699989316)
53 ST,427935.0,11220,Brooklyn,POINT (-74.01403399986317 40.64506866735981)
55 ST,98176.0,11219,Brooklyn,POINT (-73.99534882595742 40.63147876093745)
57 ST,821030.0,10019,Manhattan,POINT (-73.97736800085171 40.76408500081713)
57 ST-7 AV,870714.0,10106,Manhattan,
59 ST,2780774.5,10065,Manhattan,POINT (-74.01788099953987 40.6413616662838)
59 ST COLUMBUS,1812295.0,10023,Manhattan,POINT (-73.98192900232715 40.76824700063689)
6 AV,200397.0,10011,Manhattan,POINT (-73.99775078874781 40.73774146981052)
66 ST-LINCOLN,891278.5,10023,Manhattan,POINT (-73.98220899995783 40.77344000052039)
68ST-HUNTER CO,739754.0,10021,Manhattan,POINT (-73.96387000158042 40.76814100049679)
7 AV,1574287.0,10019,Manhattan,POINT (-73.98169782344476 40.76297015245628)
71 ST,320845.0,11228,Brooklyn,POINT (-73.99884094850685 40.61925870977273)
72 ST,1708560.0,10023,Manhattan,POINT (-73.976336575218 40.77551939729258)
77 ST,1133272.0,10075,Manhattan,POINT (-73.95987399886047 40.77362000074615)
79 ST,929058.0,10024,Manhattan,POINT (-73.97991700056134 40.78393399959032)
8 ST-NYU,784478.0,10003,Manhattan,POINT (-73.99250799849149 40.73046499853991)
81 ST-MUSEUM,628786.5,10024,Manhattan,POINT (-73.97209794937208 40.78134608418206)
86 ST,3092027.5,10028,Manhattan,POINT (-73.97621799859327 40.78864400073892)
96 ST,1767190.0,10025,Manhattan,POINT (-73.9510700015425 40.78567199998607)
9TH ST,286679.0,10011,Manhattan,
ALABAMA AV,116269.0,11207,Brooklyn,POINT (-73.89852600159652 40.676998000003756)
ASTOR PL,621016.0,10003,Manhattan,POINT (-73.99106999861966 40.73005400028978)
ATL AV-BARCLAY,2227542.0,11217,Brooklyn,POINT (-73.97754993539385 40.68442016526762)
ATLANTIC AV,83272.0,11207,Brooklyn,POINT (-73.9030969995401 40.67534466640805)
AVNUE H,150579.0,11230,Brooklyn,POINT (-73.96151793942495 40.62920837758969)
AVNUE I,92745.0,11230,Brooklyn,POINT (-73.97606933170925 40.62501744019143)
AVNUE J,297931.0,11230,Brooklyn,POINT (-73.96069316246925 40.625022819915166)
AVNUE M,271524.0,11230,Brooklyn,POINT (-73.9592431052215 40.617397744443736)
AVNUE N,155853.0,11230,Brooklyn,POINT (-73.97404850873143 40.61435671190883)
AVNUE P,134625.0,11230,Brooklyn,POINT (-73.97300281528751 40.608842808949916)
AVNUE U,706872.0,11229,Brooklyn,POINT (-73.97337641974885 40.59592482551748)
AVNUE X,143420.0,11223,Brooklyn,POINT (-73.97426599968905 40.589449666625285)
B'WAY-LAFAYETTE,1056926.0,10012,Manhattan,
BAY 50 ST,153923.0,11214,Brooklyn,POINT (-73.98376500045946 40.58884066651933)
BAY PKWY,644022.0,11214,Brooklyn,POINT (-73.9936762000529 40.601950461572315)
BAY RIDGE AV,294708.0,11220,Brooklyn,POINT (-74.02337699950728 40.63496666682377)
BEDFORD AV,732250.0,11211,Brooklyn,POINT (-73.95666499806525 40.71717399858899)
BEDFORD-NOSTRAN,409927.0,11205,Brooklyn,POINT (-73.95352200064022 40.68962700158444)
BERGEN ST,796567.0,11201,Brooklyn,POINT (-73.97499915116808 40.68086213682956)
BEVERLEY ROAD,178596.0,11226,Brooklyn,
BEVERLY RD,216374.0,11226,Brooklyn,POINT (-73.96435779623125 40.64390459860419)
BLEECKER ST,775702.0,10012,Manhattan,POINT (-73.99465900006331 40.72591466682659)
BOROUGH HALL,1322568.5,11201,Brooklyn,POINT (-73.99015100090539 40.692403999991036)
BOTANIC GARDEN,75897.0,11225,Brooklyn,POINT (-73.95924499945693 40.670342666584396)
BOWERY,253234.0,10002,Manhattan,POINT (-73.99380690654237 40.720246883147254)
BOWLING GREEN,1364099.0,10004,Manhattan,POINT (-74.01400799803432 40.70491399928076)
BRIGHTON BEACH,650453.0,11235,Brooklyn,POINT (-73.96135378598797 40.577710196642435)
BROAD ST,374160.0,10005,Manhattan,POINT (-74.01105599991755 40.706476001106005)
BROOKLYN BRIDGE,942209.0,10007,Manhattan,POINT (-74.0041310005885 40.713064999433136)
BUSHWICK AV,103209.0,11207,Brooklyn,POINT (-73.90526176305106 40.68286062551184)
CANAL ST,2634758.5,10013,Manhattan,POINT (-74.00019299927328 40.71880300107709)
CANARSIE-ROCKAW,366845.5,11236,Brooklyn,POINT (-73.90185000017287 40.64665366739528)
CARROLL ST,411029.0,11231,Brooklyn,POINT (-73.99494697998841 40.68027335170176)
CATHEDRAL PKWY,915938.0,10025,Manhattan,POINT (-73.95806670661364 40.800581558114956)
CENTRAL AV,212676.0,11221,Brooklyn,POINT (-73.92724299902838 40.69787300011831)
CENTRAL PK N110,433170.0,10026,Manhattan,POINT (-73.95182200176913 40.79907499977324)
CHAMBERS ST,2332477.0,10013,Manhattan,POINT (-74.00858473570133 40.714111000774025)
CHAUNCEY ST,218530.0,11207,Brooklyn,POINT (-73.91038357033376 40.68285130087804)
CHRISTOPHER ST,489680.0,10014,Manhattan,POINT (-74.00290599855235 40.73342200104225)
CHURCH AV,1754332.5,11218,Brooklyn,POINT (-73.97972116229084 40.64427200012998)
CITY / BUS,804629.0,10018,Manhattan,
CITY HALL,266644.0,10007,Manhattan,POINT (-74.00698581780337 40.71327233111697)
CLARK ST,301345.0,11201,Brooklyn,POINT (-73.99308599821961 40.69746599996469)
CLASSON AV,304449.0,11238,Brooklyn,POINT (-73.95999000137212 40.68888900026455)
CLEVELAND ST,162622.0,11208,Brooklyn,POINT (-73.8851940021643 40.679777998961164)
CLINTON-WASH AV,600616.0,11205,Brooklyn,POINT (-73.9667959986695 40.68809400106055)
CONEY IS-STILLW,1093382.25,11224,Brooklyn,POINT (-73.9812359981396 40.57728100006751)
CORTELYOU RD,257145.0,11226,Brooklyn,POINT (-73.96379005505493 40.6409401651401)
CORTLANDT ST,1115379.0,10007,Manhattan,POINT (-74.01218800112292 40.7118350008202)
CRESCENT ST,247990.0,11208,Brooklyn,POINT (-73.87392925215778 40.68315265707736)
CROWN HTS-UTICA,1025581.0,11213,Brooklyn,POINT (-73.93293256081851 40.66897831107809)
CYPRESS HILLS,72641.0,11208,Brooklyn,POINT (-73.87332199882995 40.689616000838754)
DEKALB AV,973656.0,11201,Brooklyn,POINT (-73.98177094440949 40.690648119969794)
DELANCEY/ESSEX,1141044.0,10002,Manhattan,POINT (-73.98740940202974 40.71830605618619)
DITMAS AV,201179.0,11218,Brooklyn,POINT (-73.97817199965161 40.63611866666291)
DYCKMAN ST,472132.0,10040,Manhattan,POINT (-73.92553600006474 40.86053100138796)
EAST 105 ST,176043.0,11236,Brooklyn,POINT (-73.89954769388724 40.65046878544699)
EAST BROADWAY,686884.0,10002,Manhattan,POINT (-73.99017700122197 40.713855001020406)
EASTN PKWY-MUSM,204411.0,11238,Brooklyn,POINT (-73.96422203748425 40.67203223545925)
EUCLID AV,483544.0,11208,Brooklyn,POINT (-73.87210600099675 40.675376998239365)
FLATBUSH AV-B.C,743078.5,11210,Brooklyn,POINT (-73.94754120734406 40.63284240700742)
FLUSHING AV,320519.0,11206,Brooklyn,POINT (-73.9502340010257 40.70037666622154)
FRANKLIN AV,874998.0,11225,Brooklyn,POINT (-73.9580997367769 40.67076515344894)
FRANKLIN ST,161607.0,10013,Manhattan,POINT (-74.00688600277107 40.719318001302135)
FT HAMILTON PKY,718594.5,11219,Brooklyn,POINT (-73.97577599917474 40.65078166803418)
FULTON ST,3869521.0,10038,Manhattan,POINT (-73.97537499833149 40.68711899950771)
GATES AV,159585.0,11221,Brooklyn,POINT (-73.92215600150752 40.689583999013905)
GRAHAM AV,292494.0,11211,Brooklyn,POINT (-73.94394399869037 40.714575998363635)
GRAND ARMY PLAZ,358127.0,11217,Brooklyn,POINT (-73.9709563319228 40.6752946951032)
GRAND ST,392883.0,10002,Manhattan,POINT (-73.94049699874644 40.71157600064823)
GRANT AV,306482.0,11208,Brooklyn,POINT (-73.86504999877702 40.67704400054478)
GRD CNTRL-42 ST,3117712.25,10018,Manhattan,POINT (-73.9767132992584 40.75180742981634)
GREENPOINT AV,565217.0,11222,Brooklyn,POINT (-73.95442500146235 40.73126699971465)
HALSEY ST,554230.0,11237,Brooklyn,POINT (-73.9166388842194 40.686415270704344)
HARLEM 148 ST,185109.0,10039,Manhattan,POINT (-73.93647000005559 40.82388000080457)
HEWES ST,220532.0,11211,Brooklyn,POINT (-73.95348800038457 40.706889998054)
HIGH ST,218535.0,11201,Brooklyn,POINT (-73.99053100065458 40.69933699977884)
HOUSTON ST,503362.0,10014,Manhattan,POINT (-74.00536700180581 40.728251000730204)
HOYT ST,378149.0,11201,Brooklyn,POINT (-73.98506379575646 40.69054418535472)
HOYT-SCHER,347262.0,11201,Brooklyn,
INWOOD-207 ST,351320.0,10034,Manhattan,POINT (-73.91989900100465 40.86807199999737)
JAY ST-METROTEC,1431763.0,11201,Brooklyn,POINT (-73.98721815267317 40.692470636847084)
JEFFERSON ST,395257.0,11237,Brooklyn,POINT (-73.9229130000312 40.706606665988716)
JUNIUS ST,117500.0,11212,Brooklyn,POINT (-73.90244864183562 40.66358900181724)
KINGS HWY,1376245.0,11229,Brooklyn,POINT (-73.9723553085244 40.603258405128265)
KINGSTON AV,252851.0,11213,Brooklyn,POINT (-73.94215978392963 40.66948144864978)
KINGSTON-THROOP,325072.0,11216,Brooklyn,POINT (-73.94085899871263 40.67991899941601)
KNICKERBOCKER,185400.0,10002,Manhattan,POINT (-73.91972000188625 40.69866000123805)
KOSCIUSZKO ST,262613.0,11221,Brooklyn,POINT (-73.92850899927413 40.69317200129202)
LAFAYETTE AV,265626.0,11238,Brooklyn,POINT (-73.97394599849406 40.68611300020567)
LEXINGTON AV/53,1341766.0,10022,Manhattan,POINT (-73.96907237490204 40.75746830782865)
LEXINGTON AV/63,993266.0,10065,Manhattan,POINT (-73.96608964413245 40.76461809442373)
LIBERTY AV,143940.0,11207,Brooklyn,POINT (-73.89654800103929 40.67454199987086)
LIVONIA AV,158097.0,11212,Brooklyn,POINT (-73.90056237226057 40.66405727094644)
LORIMER ST,632715.0,11211,Brooklyn,POINT (-73.95024799996972 40.71407200064717)
MARBLE HILL-225,230452.0,10034,Manhattan,POINT (-73.90983099923551 40.87456099941789)
MARCY AV,815524.0,11211,Brooklyn,POINT (-73.95783200075729 40.708383000017925)
METROPOLITAN AV,640105.0,11211,Brooklyn,POINT (-73.9514239994525 40.71277400073426)
MONTROSE AV,276410.0,11206,Brooklyn,POINT (-73.93979284713505 40.70739106438455)
MORGAN AV,357691.0,11237,Brooklyn,POINT (-73.93314700024209 40.70615166680729)
MYRTLE AV,66872.0,11206,Brooklyn,POINT (-73.9356230012996 40.6971950005145)
MYRTLE-WILLOUGH,336666.0,11206,Brooklyn,POINT (-73.94906699890156 40.69461899903765)
MYRTLE-WYCKOFF,615949.0,11237,Brooklyn,POINT (-73.9109757182647 40.699471062427136)
NECK RD,254636.0,11229,Brooklyn,POINT (-73.95507827493762 40.59532169111695)
NEPTUNE AV,75726.0,11224,Brooklyn,POINT (-73.97459272818807 40.580738758491464)
NEVINS ST,542568.0,11217,Brooklyn,POINT (-73.98040679874578 40.68831058019022)
NEW LOTS,214047.0,11207,Brooklyn,
NEW LOTS AV,294614.0,11207,Brooklyn,POINT (-73.88411070800329 40.6663149325969)
NEW UTRECHT AV,255028.0,11219,Brooklyn,POINT (-73.99635300025969 40.62484166725887)
NEWARK HM HE,18229.5,10119,Manhattan,
NEWARK HW BMEBE,203535.0,10019,Manhattan,
NEWKIRK AV,321357.0,11226,Brooklyn,POINT (-73.96269486837261 40.63514193733789)
NEWKIRK PLAZA,364551.0,11226,Brooklyn,
NORWOOD AV,171655.0,11208,Brooklyn,POINT (-73.87962599910783 40.68152000045683)
NOSTRAND AV,571292.5,11216,Brooklyn,POINT (-73.95042600099683 40.68043800006226)
OCEAN PKWY,212158.0,11235,Brooklyn,POINT (-73.96850099975177 40.57631166708091)
PARK PLACE,225785.0,10007,Manhattan,POINT (-73.95762400074634 40.67477166685263)
PARKSIDE AV,181296.0,11226,Brooklyn,POINT (-73.96145343987648 40.65507304163716)
PATH WTC 2,115402.0,10007,Manhattan,
PRESIDENT ST,103252.0,11225,Brooklyn,POINT (-73.95058920022207 40.667883603536815)
PRINCE ST,790020.5,10012,Manhattan,POINT (-73.99770200045987 40.72432866597571)
PROSPECT PARK,358770.0,11238,Brooklyn,POINT (-73.96203130426609 40.6616334551018)
RALPH AV,337087.0,11233,Brooklyn,POINT (-73.92078599933306 40.678822000873375)
RECTOR ST,669583.0,10006,Manhattan,POINT (-74.01297456253795 40.707744756294474)
RIT-MANHATTAN,290052.0,10119,Manhattan,
RIT-ROOSEVELT,257795.0,10016,Manhattan,POINT (-73.95323499978866 40.75917199967108)
ROCKAWAY AV,583216.0,11233,Brooklyn,POINT (-73.91194599726617 40.678339999883505)
ROOSEVELT ISLND,180761.0,10022,Manhattan,
SHEEPSHEAD BAY,693873.0,11235,Brooklyn,POINT (-73.95405791257907 40.58654754707536)
SHEPHERD AV,178515.0,11208,Brooklyn,POINT (-73.88074999747269 40.6741300014559)
SMITH-9 ST,256796.0,11231,Brooklyn,POINT (-73.99589172790934 40.67364106090412)
SOUTH FERRY,937493.5,10004,Manhattan,POINT (-74.01316895919258 40.701730507574474)
SPRING ST,463885.5,10012,Manhattan,POINT (-74.00373899843763 40.72622700129312)
STERLING ST,261874.0,11225,Brooklyn,POINT (-73.95072891124937 40.6627729934283)
SUTTER AV,159645.0,11207,Brooklyn,POINT (-73.9019160004208 40.66914500061398)
SUTTER AV-RUTLD,295211.0,11212,Brooklyn,POINT (-73.92252118536001 40.66476678877493)
THIRTY ST,431632.75,10001,Manhattan,
THIRTY THIRD ST,970424.75,10001,Manhattan,
TIMES SQ-42 ST,2401994.0,10018,Manhattan,POINT (-73.98676800153976 40.75461199851542)
TWENTY THIRD ST,233036.5,10011,Manhattan,
UNION ST,359733.0,11215,Brooklyn,POINT (-73.98310999909673 40.67731566735096)
UTICA AV,568130.0,11233,Brooklyn,POINT (-73.93072899914027 40.67936399950546)
VAN SICLEN AV,461023.0,11207,Brooklyn,POINT (-73.89165772702445 40.67802821447783)
W 4 ST-WASH SQ,1200845.0,10012,Manhattan,POINT (-74.00030814755975 40.732254493367876)
W 8 ST-AQUARIUM,247314.0,11224,Brooklyn,POINT (-73.97595787413822 40.576033818103646)
WALL ST,1926825.0,10005,Manhattan,POINT (-74.01186199860112 40.70755700086603)
WHITEHALL S-FRY,775431.0,10004,Manhattan,POINT (-74.0130072374272 40.703142373599135)
WINTHROP ST,178991.0,11225,Brooklyn,POINT (-73.95007934590994 40.65665931376077)
WORLD TRADE CTR,893862.0,10007,Manhattan,POINT (-74.00974461517701 40.71256392680817)
YORK ST,12728.0,11201,Brooklyn,POINT (-73.98688499993673 40.699742667691574)
