STATION,TOTAL_ENTRIES,ZIP,BOROUGH,the_geom
1 AV,362613.0,10009,Manhattan,POINT (-73.98168087489128 40.73097497580066)
103 ST,1100880.0,10029,Manhattan,POINT (-73.96837899960818 40.799446000334825)
110 ST,366990.0,10029,Manhattan,POINT (-73.94424999687163 40.795020000113105)
116 ST,1598167.0,10029,Manhattan,POINT (-73.94962500096905 40.802097999133004)
116 ST-COLUMBIA,395933.0,10027,Manhattan,POINT (-73.96410999757751 40.807722001230864)
125 ST,2589411.0,10035,Manhattan,POINT (-73.94549500011411 40.807753999182815)
135 ST,989727.0,10037,Manhattan,POINT (-73.94077000106708 40.8142290003391)
137 ST CITY COL,469699.5,10031,Manhattan,POINT (-73.95367600087873 40.82200799968475)
14 ST,2246978.0,10011,Manhattan,POINT (-74.00020100063497 40.737825999728116)
14 ST-UNION SQ,1548678.5,10003,Manhattan,POINT (-73.98995099881881 40.734673000996125)
145 ST,991754.0,10031,Manhattan,POINT (-73.95035999879713 40.82655099962194)
14TH ST,234538.5,10011,Manhattan,
15 ST-PROSPECT,344808.0,11215,Brooklyn,POINT (-73.97973580592873 40.66003568810021)
155 ST,407000.0,10039,Manhattan,POINT (-73.93820899811622 40.8301349999812)
157 ST,386247.0,10032,Manhattan,POINT (-73.94488999901047 40.8340410001399)
163 ST-AMSTERDM,278539.0,10032,Manhattan,POINT (-73.93989200188344 40.83601299923096)
168 ST,794313.0,10032,Manhattan,POINT (-73.93956099985425 40.84071899990795)
175 ST,602973.0,10033,Manhattan,POINT (-73.93970399761596 40.84739100072403)
18 AV,659806.0,11204,Brooklyn,POINT (-73.97697099965796 40.62975466638584)
18 ST,373337.0,10011,Manhattan,POINT (-73.99787100060406 40.741039999802105)
181 ST,998219.0,10033,Manhattan,POINT (-73.9335959996056 40.84950499974065)
190 ST,291351.0,10040,Manhattan,POINT (-73.93417999964333 40.85902199892482)
191 ST,300491.0,10040,Manhattan,POINT (-73.92941199742039 40.85522500175836)
2 AV,372439.0,10003,Manhattan,POINT (-73.98993800003434 40.72340166574911)
2 AV,372439.0,10003,Manhattan,
207 ST,303697.0,10034,Manhattan,POINT (-73.91881900132312 40.864614000525854)
215 ST,83260.0,10034,Manhattan,POINT (-73.91527899954356 40.86944399946045)
23 ST,3961954.0,10010,Manhattan,POINT (-73.98659900207888 40.739864000474604)
25 AV,271990.0,11214,Brooklyn,POINT (-73.98682900011477 40.59770366695856)
25 ST,200860.5,11232,Brooklyn,POINT (-73.99809099974297 40.66039666692321)
28 ST,1866613.5,10001,Manhattan,POINT (-73.98869800128737 40.74545399979951)
3 AV,244790.0,10003,Manhattan,POINT (-73.98575000112093 40.73269099971662)
33 ST,1154950.0,10001,Manhattan,POINT (-73.98207600148947 40.74608099909145)
34 ST-HUDSON YD,1210795.0,10001,Manhattan,POINT (-74.00219709442206 40.75544635961596)
34 ST-PENN STA,5498794.5,10119,Manhattan,POINT (-73.99105699913983 40.75037300003949)
36 ST,606064.5,11232,Brooklyn,POINT (-73.92901818461539 40.75196004401078)
4 AV-9 ST,196234.0,11215,Brooklyn,POINT (-73.98977899938897 40.67027166728493)
42 ST-BRYANT PK,1545147.0,10036,Manhattan,POINT (-73.98459099904711 40.754184001312545)
42 ST-PORT AUTH,2763960.0,10018,Manhattan,POINT (-73.98973500085859 40.757307998551504)
45 ST,270212.0,11220,Brooklyn,POINT (-74.01000600074939 40.648938666612814)
47-50 STS ROCK,1893318.0,10020,Manhattan,
49 ST,1256874.0,10020,Manhattan,POINT (-73.98420956591096 40.759801973870694)
4AV-9 ST,478290.0,11215,Brooklyn,
5 AV/53 ST,1014417.0,10022,Manhattan,POINT (-73.9752485052734 40.76008683231326)
5 AV/59 ST,906449.0,10019,Manhattan,POINT (-73.9679670004732 40.762526000304575)
50 ST,2161703.0,10019,Manhattan,POINT (-73.98384899986625 40.76172799961419)
