,STATION
288,176 ST
289,BURNSIDE AV
290,183 ST
291,MOSHOLU PKWY
292,WOODLAWN
293,CENTRAL PK N110
294,HARLEM 148 ST
295,3 AV-149 ST
296,JACKSON AV
297,INTERVALE AV
298,SIMPSON ST
299,FREEMAN ST
300,174 ST
301,WEST FARMS SQ
302,E 180 ST
303,BRONX PARK EAST
304,PELHAM PKWY
305,ALLERTON AV
306,BURKE AV
307,GUN HILL RD
308,219 ST
309,225 ST
310,233 ST
311,NEREID AV
312,WAKEFIELD/241
313,3 AV 138 ST
314,BROOK AV
315,CYPRESS AV
316,E 143/ST MARY'S
317,E 149 ST
318,LONGWOOD AV
319,HUNTS POINT AV
320,WHITLOCK AV
321,ELDER AV
322,MORISN AV/SNDVW
323,ST LAWRENCE AV
324,PARKCHESTER
325,CASTLE HILL AV
326,ZEREGA AV
327,WESTCHESTER SQ
328,MIDDLETOWN RD
329,BUHRE AV
330,PELHAM BAY PARK
331,5 AVE
332,VERNON-JACKSON
333,HUNTERS PT AV
334,QUEENSBORO PLZ
335,39 AV
336,36 AV
337,30 AV
338,ASTORIA BLVD
339,ASTORIA DITMARS
340,33 ST-RAWSON ST
341,40 ST LOWERY ST
342,46 ST BLISS ST
343,52 ST
344,61 ST WOODSIDE
345,69 ST
346,74 ST-BROADWAY
347,82 ST-JACKSON H
348,90 ST-ELMHURST
349,JUNCTION BLVD
350,103 ST-CORONA
351,METS-WILLETS PT
352,FLUSHING-MAIN
353,34 ST-HUDSON YD
354,CLARK ST
355,HOYT ST
356,NEVINS ST
357,GRAND ARMY PLAZ
358,EASTN PKWY-MUSM
359,KINGSTON AV
360,CROWN HTS-UTICA
361,SUTTER AV-RUTLD
362,SARATOGA AV
363,JUNIUS ST
364,PENNSYLVANIA AV
365,NEW LOTS AV
366,PRESIDENT ST
367,STERLING ST
368,WINTHROP ST
369,BEVERLY RD
370,NEWKIRK AV
371,FLATBUSH AV-B.C
372,MORRIS PARK
373,BAYCHESTER AV
374,EASTCHSTER/DYRE
375,ST. GEORGE
376,TOMPKINSVILLE
377,RIT-MANHATTAN
378,RIT-ROOSEVELT
