,STATION,WEEK,WEEKEND_ENTRIES
0,14 ST-UNION SQ,22,30103.0
1,14 ST-UNION SQ,23,121732.0
2,14 ST-UNION SQ,24,114749.0
3,14 ST-UNION SQ,25,119018.0
4,14 ST-UNION SQ,26,127598.0
5,14 ST-UNION SQ,27,115038.0
6,14 ST-UNION SQ,28,120709.0
7,14 ST-UNION SQ,29,116214.5
8,14 ST-UNION SQ,30,124415.0
9,14 ST-UNION SQ,31,119450.0
10,14 ST-UNION SQ,32,111175.0
11,14 ST-UNION SQ,33,124704.0
12,14 ST-UNION SQ,34,124612.0
13,14 ST-UNION SQ,35,79234.0
14,15 ST-PROSPECT,22,4228.0
15,15 ST-PROSPECT,23,29591.0
16,15 ST-PROSPECT,24,32167.0
17,15 ST-PROSPECT,25,30051.0
18,15 ST-PROSPECT,26,26638.0
19,15 ST-PROSPECT,27,17749.0
20,15 ST-PROSPECT,28,27968.0
21,15 ST-PROSPECT,29,25532.0
22,15 ST-PROSPECT,30,28225.0
23,15 ST-PROSPECT,31,26478.0
24,15 ST-PROSPECT,32,28402.0
25,15 ST-PROSPECT,33,24922.0
26,15 ST-PROSPECT,34,24956.0
27,15 ST-PROSPECT,35,17901.0
28,2 AV,22,10687.0
29,2 AV,23,28812.0
30,2 AV,24,28258.0
31,2 AV,25,25405.0
32,2 AV,26,25973.0
33,2 AV,27,31305.0
34,2 AV,28,28357.0
35,2 AV,29,29585.0
36,2 AV,30,28493.0
37,2 AV,31,27222.0
38,2 AV,32,30467.0
39,2 AV,33,29762.0
40,2 AV,34,32394.0
41,2 AV,35,15719.0
42,3 AV,22,4271.0
43,3 AV,23,21746.0
44,3 AV,24,22270.0
45,3 AV,25,21824.0
46,3 AV,26,24503.0
47,3 AV,27,14818.0
48,3 AV,28,19486.0
49,3 AV,29,16441.0
50,3 AV,30,16818.0
51,3 AV,31,16298.0
52,3 AV,32,17363.0
53,3 AV,33,17265.0
54,3 AV,34,17602.0
55,3 AV,35,14085.0
56,4 AV-9 ST,22,2320.0
57,4 AV-9 ST,23,16233.0
58,4 AV-9 ST,24,16150.0
59,4 AV-9 ST,25,14404.0
60,4 AV-9 ST,26,15369.0
61,4 AV-9 ST,27,10876.0
62,4 AV-9 ST,28,16574.0
63,4 AV-9 ST,29,15833.0
64,4 AV-9 ST,30,16213.0
65,4 AV-9 ST,31,15438.0
66,4 AV-9 ST,32,15547.0
67,4 AV-9 ST,33,14971.0
68,4 AV-9 ST,34,15281.0
69,4 AV-9 ST,35,11025.0
70,42 ST-BRYANT PK,22,31717.0
71,42 ST-BRYANT PK,23,116711.0
72,42 ST-BRYANT PK,24,120698.0
73,42 ST-BRYANT PK,25,121764.0
74,42 ST-BRYANT PK,26,120946.0
75,42 ST-BRYANT PK,27,100381.0
76,42 ST-BRYANT PK,28,118550.0
77,42 ST-BRYANT PK,29,116203.0
78,42 ST-BRYANT PK,30,120815.0
79,42 ST-BRYANT PK,31,120644.0
80,42 ST-BRYANT PK,32,123491.0
81,42 ST-BRYANT PK,33,121848.0
82,42 ST-BRYANT PK,34,120318.0
83,42 ST-BRYANT PK,35,91061.0
84,4AV-9 ST,22,8353.0
85,4AV-9 ST,23,44360.0
86,4AV-9 ST,24,40675.0
87,4AV-9 ST,25,40292.0
88,4AV-9 ST,26,39474.0
89,4AV-9 ST,27,25754.0
90,4AV-9 ST,28,37912.0
91,4AV-9 ST,29,34488.0
92,4AV-9 ST,30,37904.0
93,4AV-9 ST,31,36941.0
94,4AV-9 ST,32,36325.0
95,4AV-9 ST,33,35883.0
96,4AV-9 ST,34,33400.0
97,4AV-9 ST,35,26529.0
98,5 AV/59 ST,22,18691.0
99,5 AV/59 ST,23,76716.0
100,5 AV/59 ST,24,73878.0
101,5 AV/59 ST,25,74630.0
102,5 AV/59 ST,26,67538.0
103,5 AV/59 ST,27,55871.0
104,5 AV/59 ST,28,74977.0
105,5 AV/59 ST,29,63018.0
106,5 AV/59 ST,30,75383.0
107,5 AV/59 ST,31,70770.0
108,5 AV/59 ST,32,72980.0
109,5 AV/59 ST,33,70867.0
110,5 AV/59 ST,34,64917.0
111,5 AV/59 ST,35,46213.0
112,50 ST,22,49489.0
113,50 ST,23,176155.0
114,50 ST,24,173106.0
115,50 ST,25,182358.0
116,50 ST,26,183218.0
117,50 ST,27,149988.0
118,50 ST,28,170198.0
119,50 ST,29,162995.0
120,50 ST,30,168531.0
121,50 ST,31,182939.0
122,50 ST,32,178792.0
123,50 ST,33,134242.0
124,50 ST,34,130412.0
125,50 ST,35,119280.0
126,57 ST,22,17828.0
127,57 ST,23,73342.0
128,57 ST,24,70227.0
129,57 ST,25,68260.0
130,57 ST,26,67438.0
131,57 ST,27,46252.0
132,57 ST,28,64034.0
133,57 ST,29,62782.0
134,57 ST,30,72705.0
135,57 ST,31,68348.0
136,57 ST,32,73336.0
137,57 ST,33,48075.0
138,57 ST,34,46789.0
139,57 ST,35,41614.0
140,7 AV,22,33884.0
141,7 AV,23,129523.0
142,7 AV,24,128842.0
143,7 AV,25,126316.0
144,7 AV,26,126382.0
145,7 AV,27,100339.0
146,7 AV,28,125622.0
147,7 AV,29,125250.0
148,7 AV,30,116711.0
149,7 AV,31,126643.0
150,7 AV,32,112717.0
151,7 AV,33,122861.0
152,7 AV,34,118662.0
153,7 AV,35,80535.0
154,8 ST-NYU,22,18343.0
155,8 ST-NYU,23,65587.0
156,8 ST-NYU,24,62097.0
157,8 ST-NYU,25,61081.0
158,8 ST-NYU,26,68811.0
159,8 ST-NYU,27,52256.0
160,8 ST-NYU,28,60459.0
161,8 ST-NYU,29,57984.0
162,8 ST-NYU,30,62890.0
163,8 ST-NYU,31,60976.0
164,8 ST-NYU,32,60868.0
165,8 ST-NYU,33,57242.0
166,8 ST-NYU,34,58458.0
167,8 ST-NYU,35,37426.0
168,ASTOR PL,22,21957.0
169,ASTOR PL,23,47596.0
170,ASTOR PL,24,51128.0
171,ASTOR PL,25,49837.0
172,ASTOR PL,26,46013.0
173,ASTOR PL,27,46306.0
174,ASTOR PL,28,48695.0
175,ASTOR PL,29,45403.0
176,ASTOR PL,30,44355.0
177,ASTOR PL,31,45998.0
178,ASTOR PL,32,43630.0
179,ASTOR PL,33,47800.0
180,ASTOR PL,34,49538.0
181,ASTOR PL,35,32760.0
182,BEDFORD AV,22,17841.0
183,BEDFORD AV,23,58845.0
184,BEDFORD AV,24,59017.0
185,BEDFORD AV,25,61602.0
186,BEDFORD AV,26,62309.0
187,BEDFORD AV,27,47448.0
188,BEDFORD AV,28,60993.0
189,BEDFORD AV,29,54303.0
190,BEDFORD AV,30,56034.0
191,BEDFORD AV,31,50284.0
192,BEDFORD AV,32,52519.0
193,BEDFORD AV,33,52414.0
194,BEDFORD AV,34,57555.0
195,BEDFORD AV,35,41351.0
196,BERGEN ST,22,17274.0
197,BERGEN ST,23,68687.0
198,BERGEN ST,24,68771.0
199,BERGEN ST,25,62270.0
200,BERGEN ST,26,65237.0
201,BERGEN ST,27,41628.0
202,BERGEN ST,28,65440.0
203,BERGEN ST,29,56119.0
204,BERGEN ST,30,63463.0
205,BERGEN ST,31,62670.0
206,BERGEN ST,32,62455.0
207,BERGEN ST,33,59047.0
208,BERGEN ST,34,59957.0
209,BERGEN ST,35,43549.0
210,BOROUGH HALL,22,30500.5
211,BOROUGH HALL,23,118257.5
212,BOROUGH HALL,24,110268.5
213,BOROUGH HALL,25,109901.5
214,BOROUGH HALL,26,109303.5
215,BOROUGH HALL,27,76250.0
216,BOROUGH HALL,28,107811.5
217,BOROUGH HALL,29,94916.5
218,BOROUGH HALL,30,104871.5
219,BOROUGH HALL,31,102031.5
220,BOROUGH HALL,32,100510.5
221,BOROUGH HALL,33,100321.5
222,BOROUGH HALL,34,99784.5
223,BOROUGH HALL,35,58142.5
224,CLARK ST,22,7325.0
225,CLARK ST,23,27320.0
226,CLARK ST,24,26354.0
227,CLARK ST,25,26643.0
228,CLARK ST,26,25874.0
229,CLARK ST,27,19840.0
230,CLARK ST,28,26735.0
231,CLARK ST,29,21804.0
232,CLARK ST,30,25050.0
233,CLARK ST,31,25059.0
234,CLARK ST,32,24259.0
235,CLARK ST,33,13717.0
236,CLARK ST,34,14316.0
237,CLARK ST,35,17049.0
238,DEKALB AV,22,21520.0
239,DEKALB AV,23,82141.0
240,DEKALB AV,24,83092.0
241,DEKALB AV,25,82987.0
242,DEKALB AV,26,78590.0
243,DEKALB AV,27,66605.0
244,DEKALB AV,28,78443.0
245,DEKALB AV,29,66248.0
246,DEKALB AV,30,68150.0
247,DEKALB AV,31,65856.0
248,DEKALB AV,32,76156.0
249,DEKALB AV,33,76132.0
250,DEKALB AV,34,75486.0
251,DEKALB AV,35,52250.0
252,GRAHAM AV,22,7175.0
253,GRAHAM AV,23,24762.0
254,GRAHAM AV,24,24469.0
255,GRAHAM AV,25,24160.0
256,GRAHAM AV,26,27157.0
257,GRAHAM AV,27,24317.0
