,STATION,WEEK,WEEKEND_ENTRIES
0,14 ST-UNION SQ,23,46018.0
1,14 ST-UNION SQ,24,53045.0
2,14 ST-UNION SQ,25,55942.0
3,14 ST-UNION SQ,26,72909.0
4,14 ST-UNION SQ,27,63649.0
5,14 ST-UNION SQ,28,72141.0
6,14 ST-UNION SQ,29,79259.0
7,14 ST-UNION SQ,30,80126.0
8,14 ST-UNION SQ,31,84590.0
9,14 ST-UNION SQ,32,87422.0
10,14 ST-UNION SQ,33,86504.0
11,14 ST-UNION SQ,34,90287.0
12,14 ST-UNION SQ,35,88629.0
13,15 ST-PROSPECT,23,2930.0
14,15 ST-PROSPECT,24,3586.0
15,15 ST-PROSPECT,25,4095.0
16,15 ST-PROSPECT,26,4283.0
17,15 ST-PROSPECT,27,4393.0
18,15 ST-PROSPECT,28,4572.0
19,15 ST-PROSPECT,29,5405.0
20,15 ST-PROSPECT,30,5514.0
21,15 ST-PROSPECT,31,5453.0
22,15 ST-PROSPECT,32,5757.0
23,15 ST-PROSPECT,33,5873.0
24,15 ST-PROSPECT,34,6393.0
25,15 ST-PROSPECT,35,5855.0
26,2 AV,23,7856.0
27,2 AV,24,9217.0
28,2 AV,25,10121.0
29,2 AV,26,11684.0
30,2 AV,27,11142.0
31,2 AV,28,12686.0
32,2 AV,29,14251.0
33,2 AV,30,15437.0
34,2 AV,31,15487.0
35,2 AV,32,14157.0
36,2 AV,33,16359.0
37,2 AV,34,16180.0
38,2 AV,35,15504.0
39,3 AV,23,4554.0
40,3 AV,24,4578.0
41,3 AV,25,4841.0
42,3 AV,26,5149.0
43,3 AV,27,4588.0
44,3 AV,28,5826.0
45,3 AV,29,6485.0
46,3 AV,30,6539.0
47,3 AV,31,6964.0
48,3 AV,32,6869.0
49,3 AV,33,7869.0
50,3 AV,34,7984.0
51,3 AV,35,7586.0
52,4 AV-9 ST,23,2698.0
53,4 AV-9 ST,24,3246.0
54,4 AV-9 ST,25,3507.0
55,4 AV-9 ST,26,4029.0
56,4 AV-9 ST,27,3493.0
57,4 AV-9 ST,28,3937.0
58,4 AV-9 ST,29,4364.0
59,4 AV-9 ST,30,4506.0
60,4 AV-9 ST,31,4750.0
61,4 AV-9 ST,32,4662.0
62,4 AV-9 ST,33,4892.0
63,4 AV-9 ST,34,4988.0
64,4 AV-9 ST,35,5059.0
65,42 ST-BRYANT PK,23,12679.0
66,42 ST-BRYANT PK,24,15663.0
67,42 ST-BRYANT PK,25,18147.0
68,42 ST-BRYANT PK,26,20784.0
69,42 ST-BRYANT PK,27,15843.0
70,42 ST-BRYANT PK,28,21843.0
71,42 ST-BRYANT PK,29,24535.0
72,42 ST-BRYANT PK,30,25100.0
73,42 ST-BRYANT PK,31,24405.0
74,42 ST-BRYANT PK,32,25763.0
75,42 ST-BRYANT PK,33,26947.0
76,42 ST-BRYANT PK,34,27221.0
77,42 ST-BRYANT PK,35,25442.0
78,4AV-9 ST,23,5208.0
79,4AV-9 ST,24,5775.0
80,4AV-9 ST,25,6504.0
81,4AV-9 ST,26,7523.0
82,4AV-9 ST,27,6771.0
83,4AV-9 ST,28,7630.0
84,4AV-9 ST,29,8557.0
85,4AV-9 ST,30,8734.0
86,4AV-9 ST,31,8630.0
87,4AV-9 ST,32,9427.0
88,4AV-9 ST,33,9217.0
89,4AV-9 ST,34,9867.0
90,4AV-9 ST,35,9590.0
91,5 AV/59 ST,23,5358.0
92,5 AV/59 ST,24,8119.0
93,5 AV/59 ST,25,9967.0
94,5 AV/59 ST,26,10915.0
95,5 AV/59 ST,27,9750.0
96,5 AV/59 ST,28,10084.0
97,5 AV/59 ST,29,12816.0
98,5 AV/59 ST,30,13656.0
99,5 AV/59 ST,31,13580.0
100,5 AV/59 ST,32,14347.0
101,5 AV/59 ST,33,14403.0
102,5 AV/59 ST,34,15953.0
103,5 AV/59 ST,35,15295.0
104,50 ST,23,17526.0
105,50 ST,24,21244.0
106,50 ST,25,22276.0
107,50 ST,26,25465.0
108,50 ST,27,21581.0
109,50 ST,28,25913.0
110,50 ST,29,24569.0
111,50 ST,30,28657.0
112,50 ST,31,28674.0
113,50 ST,32,29893.0
114,50 ST,33,29337.0
115,50 ST,34,31326.0
116,50 ST,35,31588.0
117,57 ST,23,4030.0
118,57 ST,24,5655.0
119,57 ST,25,6457.0
120,57 ST,26,7456.0
121,57 ST,27,6927.0
122,57 ST,28,9544.0
123,57 ST,29,10212.0
124,57 ST,30,10626.0
125,57 ST,31,10231.0
126,57 ST,32,10314.0
127,57 ST,33,8121.0
128,57 ST,34,10614.0
129,57 ST,35,10419.0
130,7 AV,23,14543.0
131,7 AV,24,17287.0
132,7 AV,25,19290.0
133,7 AV,26,21564.0
134,7 AV,27,18447.0
135,7 AV,28,22729.0
136,7 AV,29,25397.0
137,7 AV,30,25395.0
138,7 AV,31,26465.0
139,7 AV,32,27874.0
140,7 AV,33,28436.0
141,7 AV,34,29453.0
142,7 AV,35,28961.0
143,8 ST-NYU,23,5727.0
144,8 ST-NYU,24,5464.0
145,8 ST-NYU,25,5723.0
146,8 ST-NYU,26,6957.0
147,8 ST-NYU,27,6122.0
148,8 ST-NYU,28,6982.0
149,8 ST-NYU,29,8122.0
150,8 ST-NYU,30,8052.0
151,8 ST-NYU,31,9082.0
152,8 ST-NYU,32,9427.0
153,8 ST-NYU,33,12050.0
154,8 ST-NYU,34,13190.0
155,8 ST-NYU,35,13026.0
156,ASTOR PL,23,5677.0
157,ASTOR PL,24,6110.0
158,ASTOR PL,25,7001.0
159,ASTOR PL,26,8152.0
160,ASTOR PL,27,6954.0
161,ASTOR PL,28,8633.0
162,ASTOR PL,29,9775.0
163,ASTOR PL,30,10447.0
164,ASTOR PL,31,9330.0
165,ASTOR PL,32,10868.0
166,ASTOR PL,33,5939.0
167,ASTOR PL,34,6628.0
168,ASTOR PL,35,6690.0
169,BEDFORD AV,23,10752.0
170,BEDFORD AV,24,12935.0
171,BEDFORD AV,25,14590.0
172,BEDFORD AV,26,19141.0
173,BEDFORD AV,27,18467.0
174,BEDFORD AV,28,20535.0
175,BEDFORD AV,29,25781.0
176,BEDFORD AV,30,27207.0
177,BEDFORD AV,31,27985.0
178,BEDFORD AV,32,26420.5
179,BEDFORD AV,33,24025.5
180,BEDFORD AV,34,18430.0
181,BEDFORD AV,35,22769.5
182,BERGEN ST,23,7094.0
183,BERGEN ST,24,7888.0
184,BERGEN ST,25,8927.0
185,BERGEN ST,26,10080.0
186,BERGEN ST,27,9502.0
187,BERGEN ST,28,11020.0
188,BERGEN ST,29,12044.0
189,BERGEN ST,30,11973.0
190,BERGEN ST,31,12577.0
